Name,Rating,Review
Of Mice And Men,70,
Harry Potter and the Philosopher's Stone,90,
Harry Potter and the Chamber Of Secrets,99,
Harry Potter and the Prisoner Of Azkaban,50,
Harry Potter and the Goblet Of Fire,99,
Harry Potter and the Order Of The Phoenix,50,
Harry Potter and the Half Blood Prince,70,
Harry Potter and the Deathly Hallows,70,
A Series of Unfortunate Events: The Bad Beginning,70,
A Series of Unfortunate Events: The Reptile Room,90,
A Series of Unfortunate Events: The Wide Window,70,
A Series of Unfortunate Events: The Miserable Mill,70,
A Series of Unfortunate Events: The Austere Academy,99,
A Series of Unfortunate Events: The Ersatz Elevator,80,
A Series of Unfortunate Events: The Vile Village,80,
A Series of Unfortunate Events: The Hostile Hospital,90,
A Series of Unfortunate Events: The Carnivorous Carnival,80,
A Series of Unfortunate Events: The Slippery Slope,90,
A Series of Unfortunate Events: The Grim Grotto,90,
A Series of Unfortunate Events: The Penultimate Peril,90,
A Series of Unfortunate Events: The End,50,
Holes,99,
1984,30,
The War Of The Worlds,30,
Lord Of The Flies,50,
To Kill A Mockingbird,30,
The Boy In The Striped Pajamas,99,
