Name,Rating
Stand By Me, 5
Mean Girls, 5
Pulp Fiction, 4
Indiana Jones: Temple of Doom, 5
Indiana Jones: The Last Crusade, 3
Indiana Jones: Kingdom Of The Crystal Skull, 2
The A-Team, 2
Fight Club, 4
Slumdog Millionaire, 5
Bruce Almighty, 5
The Hills Have Eyes, 5
The Hills Have Eyes 2, 2
Project X, 4
Titanic, 4
Up, 5
Toy Story 1, 4
Toy Story 2, 4
Toy Story 3, 3
Monster’s University, 3
Monster’s Inc, 5
The Incredibles, 5
Finding Nemo, 5
The Lorax, 4
Wall E, 3
Cars, 4
Cars 2, 2
The Simpsons Movie, 4
300, 5
The Ring, 4
The Ring 2, 4
Hot Fuzz, 5
The Wolf of Wall Street, 4
The Great Gatsby, 3
Spiderman, 4
Spiderman 2, 4
Spiderman 3, 4
Ironman, 3
Ironman 2, 2
Hulk (2003), 3
The Incredible Hulk (2008), 1
The Inbetweeners Movie, 3
The Inbetweeners Movie 2, 3
Superbad, 3
Ted, 3
Kick Ass, 3
Sin City, 4
Shaun Of The Dead, 4
James Bond: Casino Royal, 2
James Bond: Quantum of Solace, 2
James Bond: Skyfall, 2
Johnny English, 5
Johnny English Reborn, 2
The Pianist, 5
King Kong, 6
Prometheus, 5
127 Hours, 2
Avengers Assemble, 2
Rat Race, 5
Four Lions, 4
Gangster Squad, 2
Flight, 3
I Am Legend, 3
"I, Robot", 2
The Social Network, 3
This Is The End, 2
World War Z, 4
Kidulthood, 3
Adulthood, 3
Cloverfield, 2
American Pie, 5
American Pie 2, 4
American Wedding, 3
American Reunion, 3
American Pie Presents: Beta House, 1
Rocky, 3
Rocky 2, 3
Rocky 3, 3
Rocky 4, 4
Rocky 5, 1
Rocky Balboa, 2
Ali, 1
The Spongebob Movie, 5
The Spongebob Movie: Sponge Out Of Water, 1
School Of Rock, 5
A Cinderella Story, 5
Freaky Friday, 4
Holes, 4
Saw, 4
Saw II, 3
Gravity, 4
Charlie and The Chocolate Factory (1971), 3
Charlie and The Chocolate Factory (2005), 4
Edward Scissorhands, 2
Jurassic Park, 4
Jurassic Park 2, 3
Jurassic Park 3, 3
Need For Speed, 3
Jeepers Creepers, 5
Jeepers Creepers 2, 5
The Mask, 4
Liar Liar, 4
Rush Hour, 5
Rush Hour 2, 4
Rush Hour 3, 3
Fast and Furious: Tokyo Drift, 4
White Chicks, 4
Deep Blue Sea, 4
Home Alone 2: Lost In New York, 3
Home Alone 3, 4
War Of The Worlds, 6
The Lion King (1994), 4
The Lion King (2019), 4
There's Something About Mary, 5
Matilda, 5
The Hateful Eight, 3
Django Unchained, 3
John Tucker Must Die, 2
Dodgeball, 3
Cool Runnings, 4
Jumanji, 3
Dostana, 5
Kuch Kuch Hota Hai, 5
Chicken Run, 4
Bean, 5
Mr Bean's Holiday, 3
Blades Of Glory, 3
Lemony Snicket's A Series of Unfortunate Events, 1
Wallace & Gromit: Curse of the Ware Rabbit, 4
Over The Hedge, 4
A Bug's Life, 3
Antz, 3
Baby's Day Out, 3
Godzilla (1998), 4
Godzilla (2014), 1
High School Musical, 4
High School Musical 2, 3
High School Musical 3, 2
Airplane, 5
Napoleon Dynamite, 2
The Grinch, 1
The Longest Yard, 3
Coach Carter, 5
Despicable Me, 3
Ice Age, 4
Ice Age 2, 3
Ice Age 3, 2
Ice Age: Continental Drift, 2
Men In Black, 3
Men In Black II, 2
The Polar Express, 4
Night At The Museum, 3
Final Destination, 3
Final Destination 2, 3
Final Destination 3, 3
Freddie vs. Jason, 2
Alien vs. Predator, 2
Beauty and the Beast (1991), 3
Dumbo (1941), 3
Bambi (1942), 3
Chitty Chitty Bang Bang, 3
Spy Kids, 3
The Adventures of Sharkboy and Lavagirl, 1
Cheaper By The Dozen, 3
Cheaper By The Dozen 2, 3
Paranormal Activity, 2
One Missed Call, 2
Space Jam, 4
Shrek, 5
Shrek 2, 3
Shrek 3, 2
Madagascar, 1
The Hunger Games, 2
The Karate Kid (1984), 4
The Karate Kid (2010), 2
The Mummy, 3
The Mummy Returns, 3
Transformers, 3
Transformers 2, 2
Daddy Day Care, 2
Evolution, 3
Gone In 60 Seconds, 3
Face/Off, 3
Stuart Little, 2
Little Man, 2
Brüno, 1
Borat, 1
Ali G In Da House, 3
Don't Mess With The Zohan, 1
2012, 1
Grease, 3
Fantastic Four, 2
Fantastic Four: Rise Of The Silver Surfer, 4
G-Force, 1
Avatar, 2
Scary Movie, 1
Anchorman: The Legend of Ron Burgundy, 5
Anchorman 2: The Legend Continues, 2
Flushed Away, 3
The Hurt Locker, 3
Blood Diamond, 4
Black Hawk Down, 3
Source Code, 3
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe", 1
Pirates Of The Caribbean: The Curse Of The Black Pearl, 3
Pirates Of The Caribbean: Dead Man’s Chest, 3
The Hangover, 2
The Hangover 2, 2
Snakes On A Plane, 1
Apollo 13, 3
Miss Congeniality, 2
The Devil Wears Prada, 2
101 Dalmations, 2
Flubber, 2
Paul, 2
The Day After Tomorrow, 3
Independence Day, 3
Ghost, 3
Sister Act, 3
28 Days Later, 3
Shark Tale, 2
Kung Fu Panda, 2
Twilight, 1
The Shawshank Redemption, 5
Big Momma’s House, 2
Mrs. Doubtfire, 3
Casper, 2
"Honey, I Shrunk The Kids", 3
Small Soldiers, 5
Hook, 1
E.T. The Extra-Terrestrial, 1
The Haunted Mansion, 1
Monster House, 3
Employee Of The Month, 2
Oliver Twist, 2
Bolt, 3
Attack The Block, 2
Flightplan, 3
District 9, 5
Gothika, 2
Them, 3
The Omen, 3
The Grudge, 3
Herbie Fully Loaded, 3
Pinocchio, 3
Hancock, 1
Zathura: A Space Adventure, 3
"Angus, Thongs and Perfect Snogging", 3
Finding Dory, 2
The Rugrats Movie, 5
Rugrats Go Wild, 3
Rugrats In Paris, 3
Halloween (1978), 3
Child's Play (1988), 3
Scream, 3
The Book Of Eli, 3
The Wicker Man (2006), 2
March Of The Penguins, 2
Watchmen, 3
Akeelah and the Bee, 3
Elf, 4
Romeo and Juliet (1968), 2
The Lion King 2: Simba's Pride, 3
Pet Sematary (1989), 5
Straight Outta Compton, 5
Millions, 2
Bend It Like Beckham, 3
James Bond: Die Another Day, 2
Agent Cody Banks, 2
Stormbreaker, 2
The Witches, 2
Like Mike, 2
Men of Honour, 5
Free Willy, 3
Homeward Bound: The Incredible Journey, 2
The Princess Diaries, 2
Schindler's List, 5
Hellboy, 2
Ghost Rider, 2
This Is Spinal Tap, 1
UHF, 3
Of Mice and Men, 3
Duel, 4
Fast & Furious 6, 1
21 Jump Street, 2
Planes, 2
The Amazing Spider-Man, 3
Little Miss Sunshine, 3
Dredd, 5
Yes Man, 3
The World's End, 1
Easy A, 2
Man of Steel, 2
Kick Ass 2, 3
Grudge Match, 1
Harold and Kumar Go To White Castle, 5
Road To Perdition, 6
Trainspotting, 4
Kill Bill Vol.1, 3
Catch Me If You Can, 5
The Internship, 2
Life of Pi, 5
Rise Of The Planet Of The Apes, 2
The Purge, 1
Shutter Island, 4
Interstellar, 6
