Name,Rating,Review
Gaucho (London),70,
Sticky Wings (London),99,
Tayyabs (London),70,
Bottega Prelibato (London),70,
Yuatcha (London),70,
Alto by San Carlo (London),70,
Busaba (London),50,
Souk Bazaar (London),50,
Circolo (London),90,
Sticks and Sushi (London),70,
Kenza (London),70,
Padella (London),50,
The Breakfast Club (London),50,
Where The Pancakes Are (London),70,
Gloria (London),70,
Grounded Coffee (London),99,
Rabot 1745 (London),70,
Sushisamba (London),90,
Blues Kitchen (London),70,
Duck & Waffle (London),80,
Pizza Brixton (London),70,
Spaghetti House (London),50,
Burger & Lobster (London),80,
Brickwood (London),90,
Six By Nico (London),80,
The Ivy (Cardiff),70,
The Botanist (Cardiff),80,
San Carlo Flying Pizza (Leeds),70,
Banyan (Leeds),70,
Murgatroyds (Leeds),80,
The Ivy (Leeds),70,
Sukhothai (Leeds),70,
Tattu (Leeds),70,
Blue Sakura (Leeds),99,
Estabulo (Leeds),70,
Issho (Leeds),90,
Mrs. Atha's (Leeds),30,
Cow and Calf (Ilkley),80,
Betty's (Harrogate),90,
The Eagle (Cambridge),30,
Limoncello (Cambridge),99,
Bancone (London),50,
Peggy Porschen (London),70,
Eataly - Al Fresco (London),50,
Christopher's (London),70,
The Ivy (Blackheath),70,
Trishna (London),99,
Franco Manca (London),70,
Crazy Pizza Place (London),70,
Lina Stores (London),70,
Chaplin's Coffee & Co (London),70,
Coffee Addict (London),70,
Bibis (Leeds),70,
Nipa Thai (London),80,
Flour & Grape (London),70,
Amazonico (London),70,
Rox (New Eltham),99,
Kanishka (London),70,
The Potted Pig (Cardiff),90,
Zia Lucia (London),80,
The Huntsman (New Forest),50,
Beresfords (New Forest),50,
Britannia Thai (New Forest),80,
The Snakecatcher (New Forest),70,
Officina 00 (London),50,
Domus Clelia (Paestum),70,
Baglio (Amalfi),70,
L'abside (Amalfi),80,
Hostaria Acquolina (Amalfi),70,
Da Maria (Amalfi),80,
La Pergola (Positano),70,
La Cantina Dei Mille (Naples),50,
Cut (Las Vegas),99,Best Wagu steak and Old Fashioned cocktail I've ever had
Wasbar (Bruges),50,
Park Restaurant (Bruges),70,
That's Toast (Bruges),90,
Luv l’Oeuf (Ghent),70,
Fazenda (Leeds),99,
Iberica (Leeds),30,
Darjeeling Express (London),80,
Pascha Cafe (Cappadocia),70,
Quick China (Cappadocia),80,
Cratus (Cappadocia),99,
Myrtle Tavern (Leeds),99,"An exceptional gastropub. Quality food and great service!"
Caravan (London),70,
Brigadiers (London),80,
Bulgogi Grill (Leeds),70,
Noci (London),50,"A bit underwhelming"
Veeraswamy (London),85,"Nice tasting menu including lobster chicken and prawn."
Giggling Squid (Chislehurst),80,"Great decor and food & drink."
Mowgli (Leeds),70,"Good starters/sides, room for improvement with the mains. Cardamon Old Fashioned was great"
Jacuzzi (London),70,"Decent food and decor, and 'The Golden Age' cocktail was amazing. However, the menu wasn't as extensive as I was expecting."
Las Iguanas (Leeds),80,"Good bottomless brunch with a variety of cocktails"
Cataplana LX (Lisbon),75,"Came here a few days ago and got the mixed Paella (chicken & seafood) and it was very good!"
Come Prima (Lisbon),70,"Nice Italian with homemade fresh food. Slightly cramped seating but great service."
Breakfast Lovers (Lisbon),90,"Great food and nice vibe. Nice twist to have eggs Benedict on croissant 🥐"
Bono (Lisbon),80,"Great service, cosy atmosphere and tasty food. Would recommend the creamy rice with pulled beef rib!"
Dear Breakfast,70,"Decent food. Tried the halloumi pancake which was quite unique and nice. Would have preferred the fried eggs not to have any runny whites however."
Crossroad10,75,"Nice food, although the menu was very small and the waiter wasn’t even sure what the dessert was"
Yakuza by Olivier,95,"Very good food, although very pricey. Amazing decor and nice vibe inside."
The Folks,80,"Very good presentation of food and nice vibe. Wish we could have swapped the choice of bread free of charge however."
